TIMESTAMP,ECG
2023-12-11 02:17:51.772937007+00:00,-29
2023-12-11 02:17:51.780811023+00:00,-13
2023-12-11 02:17:51.788685039+00:00,-7
2023-12-11 02:17:51.796559055+00:00,-13
2023-12-11 02:17:51.804433070+00:00,-12
2023-12-11 02:17:51.812307086+00:00,-11
2023-12-11 02:17:51.820181102+00:00,-2
2023-12-11 02:17:51.828055118+00:00,-10
2023-12-11 02:17:51.835929133+00:00,-23
2023-12-11 02:17:51.843803149+00:00,-34
2023-12-11 02:17:51.851677165+00:00,-53
2023-12-11 02:17:51.859551181+00:00,-53
2023-12-11 02:17:51.867425196+00:00,-54
2023-12-11 02:17:51.875299212+00:00,-72
2023-12-11 02:17:51.883173228+00:00,-97
2023-12-11 02:17:51.891047244+00:00,40
2023-12-11 02:17:51.898921259+00:00,465
2023-12-11 02:17:51.906795275+00:00,670
2023-12-11 02:17:51.914669291+00:00,145
2023-12-11 02:17:51.922543307+00:00,-116
2023-12-11 02:17:51.930417322+00:00,-118
2023-12-11 02:17:51.938291338+00:00,-75
2023-12-11 02:17:51.946165354+00:00,-59
2023-12-11 02:17:51.954039370+00:00,-70
2023-12-11 02:17:51.961913385+00:00,-67
2023-12-11 02:17:51.969787401+00:00,-65
2023-12-11 02:17:51.977661417+00:00,-56
2023-12-11 02:17:51.985535433+00:00,-56
2023-12-11 02:17:51.993409448+00:00,-57
2023-12-11 02:17:52.001283464+00:00,-52
2023-12-11 02:17:52.009157480+00:00,-54
2023-12-11 02:17:52.017031496+00:00,-53
2023-12-11 02:17:52.024905511+00:00,-50
2023-12-11 02:17:52.032779527+00:00,-47
2023-12-11 02:17:52.040653543+00:00,-43
2023-12-11 02:17:52.048527559+00:00,-42
2023-12-11 02:17:52.056401574+00:00,-43
2023-12-11 02:17:52.064275590+00:00,-33
2023-12-11 02:17:52.072149606+00:00,-35
2023-12-11 02:17:52.080023622+00:00,-31
2023-12-11 02:17:52.087897637+00:00,-22
2023-12-11 02:17:52.095771653+00:00,-24
2023-12-11 02:17:52.103645669+00:00,-17
2023-12-11 02:17:52.111519685+00:00,-12
2023-12-11 02:17:52.119393700+00:00,-12
2023-12-11 02:17:52.127267716+00:00,5
2023-12-11 02:17:52.135141732+00:00,8
2023-12-11 02:17:52.143015748+00:00,18
2023-12-11 02:17:52.150889763+00:00,26
2023-12-11 02:17:52.158763779+00:00,34
2023-12-11 02:17:52.166637795+00:00,51
2023-12-11 02:17:52.174511811+00:00,56
2023-12-11 02:17:52.182385826+00:00,69
2023-12-11 02:17:52.190259842+00:00,72
2023-12-11 02:17:52.198133858+00:00,71
2023-12-11 02:17:52.206007874+00:00,73
2023-12-11 02:17:52.213881889+00:00,65
2023-12-11 02:17:52.221755905+00:00,65
2023-12-11 02:17:52.229629921+00:00,62
2023-12-11 02:17:52.237503937+00:00,50
2023-12-11 02:17:52.245377952+00:00,43
2023-12-11 02:17:52.253251968+00:00,26
2023-12-11 02:17:52.261125984+00:00,13
2023-12-11 02:17:52.269000+00:00,8
2023-12-11 02:17:52.269000+00:00,-3
2023-12-11 02:17:52.276874015+00:00,-14
2023-12-11 02:17:52.284748031+00:00,-16
2023-12-11 02:17:52.292622047+00:00,-24
2023-12-11 02:17:52.300496062+00:00,-23
2023-12-11 02:17:52.308370078+00:00,-24
2023-12-11 02:17:52.316244094+00:00,-23
2023-12-11 02:17:52.324118110+00:00,-27
2023-12-11 02:17:52.331992125+00:00,-33
2023-12-11 02:17:52.339866141+00:00,-26
2023-12-11 02:17:52.347740157+00:00,-26
2023-12-11 02:17:52.355614173+00:00,-26
2023-12-11 02:17:52.363488188+00:00,-25
2023-12-11 02:17:52.371362204+00:00,-31
2023-12-11 02:17:52.379236220+00:00,-30
2023-12-11 02:17:52.387110236+00:00,-36
2023-12-11 02:17:52.394984251+00:00,-36
2023-12-11 02:17:52.402858267+00:00,-37
2023-12-11 02:17:52.410732283+00:00,-43
2023-12-11 02:17:52.418606299+00:00,-43
2023-12-11 02:17:52.426480314+00:00,-44
2023-12-11 02:17:52.434354330+00:00,-51
2023-12-11 02:17:52.442228346+00:00,-49
2023-12-11 02:17:52.450102362+00:00,-51
2023-12-11 02:17:52.457976377+00:00,-50
2023-12-11 02:17:52.465850393+00:00,-49
2023-12-11 02:17:52.473724409+00:00,-55
2023-12-11 02:17:52.481598425+00:00,-48
2023-12-11 02:17:52.489472440+00:00,-52
2023-12-11 02:17:52.497346456+00:00,-51
2023-12-11 02:17:52.505220472+00:00,-44
2023-12-11 02:17:52.513094488+00:00,-53
2023-12-11 02:17:52.520968503+00:00,-47
2023-12-11 02:17:52.528842519+00:00,-51
2023-12-11 02:17:52.536716535+00:00,-52
2023-12-11 02:17:52.544590551+00:00,-50
2023-12-11 02:17:52.552464566+00:00,-52
2023-12-11 02:17:52.560338582+00:00,-48
2023-12-11 02:17:52.568212598+00:00,-43
2023-12-11 02:17:52.576086614+00:00,-30
2023-12-11 02:17:52.583960629+00:00,-22
2023-12-11 02:17:52.591834645+00:00,-18
2023-12-11 02:17:52.599708661+00:00,-20
2023-12-11 02:17:52.607582677+00:00,-23
2023-12-11 02:17:52.615456692+00:00,-17
2023-12-11 02:17:52.623330708+00:00,-10
2023-12-11 02:17:52.631204724+00:00,-17
2023-12-11 02:17:52.639078740+00:00,-30
2023-12-11 02:17:52.646952755+00:00,-35
